ticker,date,open,high,low,close,volume
AAA,2025-01-01,100,102,99,101,1000000
AAA,2025-01-02,101,102,100,101,1050000
AAA,2025-01-03,90,91,87,88,4500000
AAA,2025-01-04,89,92,88,91,3000000
AAA,2025-01-05,92,94,91,93,2200000
AAA,2025-01-06,94,96,93,95,1900000
AAA,2025-01-07,95,97,94,96,1800000
AAA,2025-01-08,96,98,95,97,1700000
BBB,2025-01-01,50,51,49,50,1200000
BBB,2025-01-02,50,50,48,49,1250000
BBB,2025-01-03,43,44,40,41,5000000
BBB,2025-01-04,41,42,38,39,4300000
BBB,2025-01-05,39,40,36,37,4100000
BBB,2025-01-06,37,38,35,36,3500000
BBB,2025-01-07,36,37,34,35,3200000
BBB,2025-01-08,35,36,33,34,3000000
