policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,policy_sharpe_stability,policy_selection_score
1,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.5,5,58446.30884365003,4.844630884365003,0.10327125518711688,0.766879885379077,-0.3267681556429022,1392,695,0.3074884029158383,5,False,-0.032999999999999995,15266.65829036017,0.5266658290360171,0.1512432216649653,0.888666003090534,-0.10650453451553132,254,105,0.33553500660501984,5,False,-0.032999999999999995,10601.141174253191,0.060114117425319025,0.019702041475784915,0.19700966401215234,-0.16854399960960198,216,122,0.2864721485411141,5,False,-0.032999999999999995,11172.61721245997,0.11726172124599699,0.11825322392252335,0.7327052933298398,-0.10617929491707634,84,44,0.336,5,False,-0.032999999999999995,-0.12178611771145698,0.8964945652173912
2,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.0,5,33680.55960348841,2.368055960348841,0.0699342698576968,0.7668798853790769,-0.2294512597867875,1392,695,0.3074884029158383,5,False,-0.022,13385.836258510275,0.3385836258510275,0.10194369160324279,0.8886660030905341,-0.07193535897805414,254,105,0.33553500660501984,5,False,-0.022,10474.731982467376,0.04747319824673757,0.015622038589901965,0.19700966401215264,-0.11510769339174975,216,122,0.2864721485411141,5,False,-0.022,10799.4523280146,0.07994523280146004,0.08060990881170693,0.7327052933298395,-0.07173510176950548,84,44,0.336,5,False,-0.022,-0.1217861177114572,0.8947826086956522
3,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,2.0,5,97861.29712837168,8.786129712837168,0.13538552752000577,0.7668798853790769,-0.41362456487424615,1392,695,0.3074884029158383,5,False,-0.044,17254.59362273852,0.7254593622738521,0.19912353735140598,0.8886660030905341,-0.14015646449261276,254,105,0.33553500660501984,5,False,-0.044,10655.377229857262,0.06553772298572613,0.021442644713342673,0.19700966401215264,-0.21935899360729516,216,122,0.2864721485411141,5,False,-0.044,11526.20950937691,0.152620950937691,0.15393142717495212,0.7327052933298395,-0.13969295314214425,84,44,0.336,5,False,-0.044,-0.1217861177114572,0.8928260869565217
4,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.0,3,48238.16369687393,3.8238163696873935,0.09154497116272653,0.7263623208635482,-0.2960371902747957,1154,695,0.25491495471614756,3,False,-0.022000000000000002,13928.70851447934,0.392870851447934,0.116623887752904,0.8283512462193252,-0.09561393086284942,192,105,0.2536327608982827,3,False,-0.022000000000000002,9701.383509354451,-0.029861649064554907,-0.010081175225385652,-0.021892731918899684,-0.18325841192592296,185,122,0.2453580901856764,3,False,-0.022000000000000002,10892.197367502398,0.08921973675023986,0.08996468308806227,0.6432235576784033,-0.08948554488355809,72,44,0.288,3,False,-0.022000000000000002,-0.10198892535577697,0.8846467391304348
5,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,1.0,10,62015.92258704765,5.201592258704765,0.10691809443982603,0.7423802793227325,-0.27502510017806636,6477,2421,1.4307488402915838,10,False,-0.12580672402477608,14370.268297342545,0.43702682973425455,0.1282853650635447,0.8854664424536391,-0.10638637922076932,1195,395,1.5785997357992074,10,False,-0.058217640260405455,5887.3653614283785,-0.41126346385716217,-0.16227096808341057,-1.1823284342916622,-0.4633760074569967,1436,438,1.9045092838196287,10,False,-0.05596621165495238,10065.47400880247,0.0065474008802470784,0.0065999525599163,0.1249359198028769,-0.13690132498370478,531,146,2.124,10,False,-0.04909325137930075,-0.1430861631309066,0.88125
6,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,3.0,5,247471.80417445107,23.747180417445108,0.19556174025181838,0.766879885379077,-0.55929894269542,1392,695,0.3074884029158383,5,False,-0.06599999999999999,21476.546166804157,1.1476546166804158,0.28975921017885287,0.888666003090534,-0.20475553898385435,254,105,0.33553500660501984,5,False,-0.06599999999999999,10558.6378918452,0.05586378918451995,0.01833383109984288,0.19700966401215234,-0.3134906016527864,216,122,0.2864721485411141,5,False,-0.06599999999999999,12169.819464935323,0.2169819464935323,0.21889531774744464,0.7327052933298398,-0.20398450626685238,84,44,0.336,5,False,-0.06599999999999999,-0.12178611771145698,0.8809510869565218
7,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.5,3,95031.22008572395,8.503122008572396,0.13353232549940275,0.7263623208635481,-0.4151864987934727,1154,695,0.25491495471614756,3,False,-0.033,16083.889349387524,0.6083889349387523,0.17140249420723963,0.8283512462193252,-0.1410976581653124,192,105,0.2536327608982827,3,False,-0.033,9404.878336351863,-0.05951216636481371,-0.020297611489620948,-0.021892731918899826,-0.26574079868535583,185,122,0.2453580901856764,3,False,-0.033,11281.838195990984,0.1281838195990983,0.12927289881093484,0.643223557678403,-0.13203223117528629,72,44,0.288,3,False,-0.033,-0.10198892535577708,0.8799184782608696
8,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,2.0,3,174849.61498218635,16.484961498218635,0.17266557751417388,0.7263623208635482,-0.5173459017825182,1154,695,0.25491495471614756,3,False,-0.044000000000000004,18321.444313797878,0.8321444313797879,0.22331258992639214,0.8283512462193252,-0.18504150940197972,192,105,0.2536327608982827,3,False,-0.044000000000000004,9026.744444073674,-0.09732555559263256,-0.033642701746199766,-0.021892731918899684,-0.3421923345905946,185,122,0.2453580901856764,3,False,-0.044000000000000004,11630.96012144704,0.16309601214470404,0.1645026769287674,0.6432235576784033,-0.1731428560064674,72,44,0.288,3,False,-0.044000000000000004,-0.10198892535577697,0.8742119565217391
9,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,1.5,10,131963.48357131638,12.196348357131638,0.15443951609508577,0.7423802793227325,-0.40283554781382414,6477,2421,1.4307488402915838,10,False,-0.18871008603716413,16813.006311614357,0.6813006311614358,0.18881907769699513,0.8854664424536391,-0.16136096854201143,1195,395,1.5785997357992074,10,False,-0.08732646039060818,4416.627456582593,-0.5583372543417406,-0.23900269038789657,-1.1823284342916618,-0.6140702623448544,1436,438,1.9045092838196287,10,False,-0.08394931748242858,9981.834552364138,-0.0018165447635861698,-0.0018310638087615239,0.1249359198028767,-0.1992331844797881,531,146,2.124,10,False,-0.07363987706895112,-0.1430861631309066,0.8719021739130435
10,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,4.0,5,548658.1950198283,53.86581950198283,0.24974090494178092,0.7668798853790769,-0.6728774344805781,1392,695,0.3074884029158383,5,False,-0.088,25870.764257924387,1.5870764257924388,0.37221231296480584,0.8886660030905341,-0.2658290056065118,254,105,0.33553500660501984,5,False,-0.088,10215.135654717262,0.021513565471726226,0.007139322688838989,0.19700966401215264,-0.39822217175892605,216,122,0.2864721485411141,5,False,-0.088,12721.836912942423,0.27218369129424236,0.27463612384277036,0.7327052933298395,-0.26472247589083164,84,44,0.336,5,False,-0.088,-0.1217861177114572,0.8674184782608696
11,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,2.0,10,252545.37816845134,24.254537816845133,0.1969131323049378,0.7423802793227325,-0.5195551400011711,6477,2421,1.4307488402915838,10,False,-0.25161344804955216,19359.998571228825,0.9359998571228825,0.24597340530620326,0.8854664424536391,-0.21681604457762782,1195,395,1.5785997357992074,10,False,-0.11643528052081091,3263.573327815092,-0.6736426672184908,-0.3121910663674762,-1.1823284342916622,-0.7258936359724554,1436,438,1.9045092838196287,10,False,-0.11193242330990476,9823.990081202139,-0.017600991879786143,-0.017740543387527064,0.1249359198028769,-0.2577540434496899,531,146,2.124,10,False,-0.0981865027586015,-0.1430861631309066,0.8627717391304347
