signal_rank,variant_id,family,base_config_json,stop_loss,take_profit,raw_candidates,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,signal_sharpe_stability,signal_positive_year_share_2021_2024,signal_worst_year_return_2021_2024,signal_selection_score
1,855ffdb1b624,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.03, ""prev_return_max"": 0.0}",0.03,,333,11979.824884488624,0.19798248844886235,0.06231751133662544,0.7623635099079679,-0.040264671305593525,136,66,0.1806108897742364,10,False,-0.028592098458227123,10359.391155143323,0.035939115514332265,0.03579455119502928,0.7999530440086021,-0.01320469848592798,47,27,0.1857707509881423,10,False,-0.007914976395352737,11117.284339651025,0.11172843396510257,0.11267083137147749,1.446213743742678,-0.02060750343196205,68,33,0.272,10,False,-0.009600000000000001,0.04146472456500083,1.5827334354059153,-0.007740678484098207,27,0.08811857955531766,0.7468804920659351,-0.040264671305593414,74,0.057133119575071944,0.8074630072493564,-0.0191058463565017,35,0.035939115514332265,0.7999530440086021,-0.01320469848592798,47,0.11172843396510257,1.446213743742678,-0.02060750343196205,68,-0.03758953410063426,1.0,0.035939115514332265,0.9534628571428571
2,b40424565684,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": -0.03, ""prev_return_max"": 0.0}",0.03,,334,11941.366377636337,0.19413663776363377,0.06117498493958462,0.7489801123326997,-0.043345683596747286,137,66,0.18193891102257637,10,False,-0.028592098458227123,10359.391155143323,0.035939115514332265,0.03579455119502928,0.7999530440086021,-0.01320469848592798,47,27,0.1857707509881423,10,False,-0.007914976395352737,11117.284339651025,0.11172843396510257,0.11267083137147749,1.446213743742678,-0.02060750343196205,68,33,0.272,10,False,-0.009600000000000001,0.04146472456500083,1.5827334354059153,-0.007740678484098207,27,0.08462542199655276,0.7199736018064083,-0.043345683596747064,75,0.057133119575071944,0.8074630072493564,-0.0191058463565017,35,0.035939115514332265,0.7999530440086021,-0.01320469848592798,47,0.11172843396510257,1.446213743742678,-0.02060750343196205,68,-0.050972931675902444,1.0,0.035939115514332265,0.9518914285714285
3,71cb644fdc29,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": 0.0, ""min_adv20"": 100000000.0, ""mom3_max"": -0.03, ""prev_return_max"": 0.0}",0.03,,317,12069.43326939881,0.20694332693988104,0.06497016492520924,0.7942499446919125,-0.0388275383588923,125,61,0.16600265604249667,10,False,-0.028592098458227123,10350.519408376202,0.0350519408376202,0.03491100495681709,0.78207299741482,-0.014860192119112159,45,26,0.17786561264822134,10,False,-0.007914976395352737,11152.630532172905,0.11526305321729047,0.1162367930995738,1.482420026043188,-0.020607503431961383,67,33,0.268,10,False,-0.009600000000000001,0.035988268131133205,1.401149033759049,-0.007740678484097985,24,0.09973464090217221,0.8347611618857997,-0.038827538358891966,68,0.0593613776250117,0.8407196232961893,-0.020204025374381596,33,0.0350519408376202,0.78207299741482,-0.014860192119112159,45,0.11526305321729047,1.482420026043188,-0.020607503431961383,67,-0.012176947277092509,1.0,0.0350519408376202,0.9511066666666668
4,3da1147119b4,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.25}",,,325,12524.85812085675,0.252485812085675,0.07825326702029667,0.7947017097608939,-0.06283166446795474,126,49,0.16733067729083664,10,False,-0.04248727317937121,10407.53703301649,0.04075370330164896,0.04058939580333032,0.8063951545521967,-0.016260269943452532,29,15,0.11462450592885376,10,False,-0.008935651710003888,11814.407267158404,0.18144072671584044,0.1830176750446586,1.6195242484384058,-0.013686835570762224,53,20,0.212,10,False,-0.013686835570762135,0.04784263527975674,1.1998874210625445,-0.01714312796208528,29,0.15878038732172994,1.0861643311861937,-0.05663393588842258,66,0.03151515643511171,0.3948120292544689,-0.06283166446795452,31,0.04075370330164896,0.8063951545521967,-0.016260269943452532,29,0.18144072671584044,1.6195242484384058,-0.013686835570762224,53,-0.011693444791302743,1.0,0.03151515643511171,0.9496460317460317
5,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,270,11783.629001695117,0.17836290016951173,0.05646313480809617,0.8250475956216357,-0.05274160037805842,119,48,0.15803452855245684,10,False,-0.04248727317937121,10491.845465374323,0.049184546537432317,0.048985455747351025,1.080164898626837,-0.01402299993134215,26,14,0.10276679841897234,10,False,-0.008935651710003888,11317.686568968473,0.13176865689684725,0.13288994899729412,1.6146937519257978,-0.012453403562046494,50,19,0.2,10,False,-0.01245340356204662,0.040368123724062954,1.145442767667585,-0.01714312796208528,27,0.10012182566512595,0.9396691839663232,-0.05274160037805842,62,0.02955900752802143,0.7540839140832214,-0.029518373646801543,30,0.049184546537432317,1.080164898626837,-0.01402299993134215,26,0.13176865689684725,1.6146937519257978,-0.012453403562046494,50,-0.2551173030052014,1.0,0.02955900752802143,0.9494
6,a0d87a4d13d7,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.06,270,11444.403201295198,0.14444032012951968,0.046185901177630884,0.7865513905406584,-0.05461816649746787,119,48,0.15803452855245684,10,False,-0.04248727317937121,10472.73494970224,0.04727349497022404,0.04708231209199076,1.0253411343849366,-0.014022999931342262,26,14,0.10276679841897234,10,False,-0.008935651710003888,11088.39937421434,0.10883993742143394,0.10975678903850472,1.4723509558299148,-0.01645340356204672,50,19,0.2,10,False,-0.01645340356204662,0.035490713777890814,1.0973027663041837,-0.01714312796208528,27,0.07005604903101714,0.7869544715615118,-0.05461816649746776,62,0.03285751848978369,0.935824431234357,-0.029518373646801432,30,0.04727349497022404,1.0253411343849366,-0.014022999931342262,26,0.10883993742143394,1.4723509558299148,-0.01645340356204672,50,-0.2387897438442782,1.0,0.03285751848978369,0.9479926984126985
7,a4082a055e1d,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,,270,12461.948466918,0.24619484669180003,0.07643776003766045,0.78949157067536,-0.06283166446795452,119,48,0.15803452855245684,10,False,-0.04248727317937121,10539.673795361845,0.05396737953618458,0.053748437430593876,1.0593138693975055,-0.01402299993134215,26,14,0.10276679841897234,10,False,-0.008935651710003888,11692.694290904477,0.16926942909044773,0.17073313920214583,1.5678099314345713,-0.013686835570762224,50,19,0.2,10,False,-0.013686835570762135,0.04368436550708643,1.165968968474391,-0.01714312796208528,27,0.15212557698379237,1.059289778898374,-0.05663393588842236,62,0.03637506472905372,0.4535455253763418,-0.06283166446795452,30,0.05396737953618458,1.0593138693975055,-0.01402299993134215,26,0.16926942909044773,1.5678099314345713,-0.013686835570762224,50,-0.26982229872214547,1.0,0.03637506472905372,0.9479177777777776
8,2e8507d11a9f,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.05, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.03}",,0.08,191,11241.734760179575,0.12417347601795758,0.039948786530221714,0.71888574395121,-0.040976857248161025,78,41,0.10358565737051793,10,False,-0.03050180219653622,10519.124751689653,0.051912475168965244,0.05170207250589809,1.1139482854394405,-0.009156744752313872,26,15,0.10276679841897234,10,False,-0.007603250896649904,11067.938624485323,0.10679386244853228,0.10769265536544537,1.4073448721790307,-0.010249143619115109,36,14,0.144,10,False,-0.006758472194223553,0.02466637103495173,0.8684774222464906,-0.019515390899610074,22,0.059312746026048746,0.7076803928781836,-0.04061272521332415,35,0.0356825362402684,1.000106363341332,-0.020284269662921295,21,0.051912475168965244,1.1139482854394405,-0.009156744752313872,26,0.10679386244853228,1.4073448721790307,-0.010249143619115109,36,-0.3950625414882305,1.0,0.02466637103495173,0.9478177777777778
9,67e7fda2fd1d,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",,,301,12436.853371010422,0.24368533710104212,0.075711840370283,0.7775653293811716,-0.06283166446795452,125,49,0.16600265604249667,10,False,-0.04248727317937121,10404.66067912075,0.040466067912074966,0.040302942386595486,0.801209930080288,-0.016260269943452643,27,14,0.1067193675889328,10,False,-0.008935651710003888,11723.668064882002,0.17236680648820024,0.17385923707887763,1.5933872626789338,-0.013686835570762224,52,20,0.208,10,False,-0.013686835570762135,0.04784263527975674,1.1998874210625445,-0.01714312796208528,29,0.15063832478265282,1.0494979175610142,-0.05663393588842258,65,0.03151515643511171,0.3948120292544689,-0.06283166446795452,31,0.040466067912074966,0.801209930080288,-0.016260269943452643,27,0.17236680648820024,1.5933872626789338,-0.013686835570762224,52,-0.023644600699116336,1.0,0.03151515643511171,0.9477149206349207
10,e53ef2ae4f95,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.25}",,0.08,326,11776.246638323191,0.17762466383231912,0.05624158733316098,0.79597097707474,-0.05855650976656679,127,49,0.16865869853917662,10,False,-0.04248727317937121,10360.30833075897,0.03603083307589694,0.0358858934720967,0.796551196949111,-0.01654178421544128,29,15,0.11462450592885376,10,False,-0.008935651710003888,11434.251656910259,0.14342516569102592,0.1446518337560443,1.6936010603013167,-0.012453403562046717,53,20,0.212,10,False,-0.01245340356204662,0.04452391457765148,1.1874796857226257,-0.01714312796208528,29,0.10017321350686026,0.914811818151949,-0.05855650976656679,67,0.024772443110244735,0.6090767137762683,-0.0333838346369828,31,0.03603083307589694,0.796551196949111,-0.01654178421544128,29,0.14342516569102592,1.6936010603013167,-0.012453403562046717,53,-0.0005802198743710685,1.0,0.024772443110244735,0.9474673015873016
