leaderboard_rank,variant_id,extreme_move_threshold,oos_trades,oos_crossing_extreme_move_trades,oos_crossing_share,clean_oos_trades,oos_avg_return,clean_oos_avg_return,avg_return_delta,oos_win_rate,clean_oos_win_rate,oos_profit_factor,clean_oos_profit_factor,oos_portfolio_total_return,oos_portfolio_sharpe,oos_portfolio_max_drawdown,oos_portfolio_accepted_trades,oos_portfolio_skipped_trades,clean_oos_portfolio_total_return,clean_oos_portfolio_sharpe,clean_oos_portfolio_max_drawdown,clean_oos_portfolio_accepted_trades,clean_oos_portfolio_skipped_trades
1,22c44ea4dbb6,3.0,92,0,0.0,92,0.06915488809567107,0.06915488809567107,0.0,0.5760869565217391,0.5760869565217391,2.2382114445622787,2.2382114445622787,0.07911457593641602,0.2561397831705617,-0.2430734544968961,69,23,0.07911457593641602,0.2561397831705617,-0.2430734544968961,69,23
2,59a060ade294,3.0,82,0,0.0,82,0.07343926242110495,0.07343926242110495,0.0,0.573170731707317,0.573170731707317,2.2490455892502808,2.2490455892502808,0.07323656042684568,0.24677649813934827,-0.2430734540008953,64,18,0.07323656042684568,0.24677649813934827,-0.2430734540008953,64,18
3,425bb9e15b68,3.0,100,0,0.0,100,0.026333706924241654,0.026333706924241654,0.0,0.53,0.53,1.6739435781050318,1.6739435781050318,0.09559601232641479,0.3348901605818187,-0.14493096149988882,91,9,0.09559601232641479,0.3348901605818187,-0.14493096149988882,91,9
4,c48255f35be3,3.0,46,0,0.0,46,0.008587749329679536,0.008587749329679536,0.0,0.5,0.5,1.1810101219894258,1.1810101219894258,0.004179807722940465,0.06707718774533528,-0.10047949127925682,44,2,0.004179807722940465,0.06707718774533528,-0.10047949127925682,44,2
5,f2526719447b,3.0,90,0,0.0,90,0.02576596634012328,0.02576596634012328,0.0,0.5,0.5,1.620396745886251,1.620396745886251,0.08067527242479056,0.30102943740639526,-0.1449309614998885,84,6,0.08067527242479056,0.30102943740639526,-0.1449309614998885,84,6
6,7b972fdcd1af,3.0,46,0,0.0,46,0.0029967809698714233,0.0029967809698714233,0.0,0.45652173913043476,0.45652173913043476,1.063388712621214,1.063388712621214,-0.03035260597195588,-0.10061474986798746,-0.11016083583152403,44,2,-0.03035260597195588,-0.10061474986798746,-0.11016083583152403,44,2
7,19190144c1bf,3.0,46,0,0.0,46,-0.007998444384597613,-0.007998444384597613,0.0,0.43478260869565216,0.43478260869565216,0.8335770793454904,0.8335770793454904,-0.06504588538414924,-0.2607350661928249,-0.16361549829984556,44,2,-0.06504588538414924,-0.2607350661928249,-0.16361549829984556,44,2
8,387f28f5dfb4,3.0,46,0,0.0,46,-0.024295117022012282,-0.024295117022012282,0.0,0.3695652173913043,0.3695652173913043,0.43210775401081525,0.43210775401081525,-0.12198058936915113,-0.6931361780896625,-0.1422514640893534,45,1,-0.12198058936915113,-0.6931361780896625,-0.1422514640893534,45,1
9,40fa69c97a44,3.0,92,0,0.0,92,0.051764108869065836,0.051764108869065836,0.0,0.5434782608695652,0.5434782608695652,1.9386041605665199,1.9386041605665199,0.05146549866515682,0.19995413479586546,-0.25690568317927565,69,23,0.05146549866515682,0.19995413479586546,-0.25690568317927565,69,23
10,5062e7e97823,3.0,46,0,0.0,46,-0.017666146298325216,-0.017666146298325216,0.0,0.43478260869565216,0.43478260869565216,0.5665277061827895,0.5665277061827895,-0.0934706259797462,-0.5231108963983087,-0.10966484055057568,45,1,-0.0934706259797462,-0.5231108963983087,-0.10966484055057568,45,1
