ticker,cik,_instrument_id,date,prev_close,close,daily_return
EP,0000887396,EP|0000887396,2014-03-07,0.4399999976158142,2.240000009536743,4.090909140169128
COMS,0001178727,COMS|0001178727,2014-05-06,4848.0,27600.000000000004,4.693069306930694
SOV,0000811830,SOV|0000811830,2014-10-30,8.17,65.219,6.982741738066095
SOV,0000811830,SOV|0000811830,2014-11-05,8.2,67.706,7.256829268292684
SOV,0000811830,SOV|0000811830,2014-11-11,8.29,67.703,7.166827503015682
SOV,0000811830,SOV|0000811830,2014-11-19,8.2,66.275,7.082317073170733
SOV,0000811830,SOV|0000811830,2014-11-21,8.1,65.444,7.079506172839507
SOV,0000811830,SOV|0000811830,2014-11-28,8.2,67.824,7.271219512195122
SOV,0000811830,SOV|0000811830,2015-04-13,8.1,85.783,9.590493827160495
SOV,0000811830,SOV|0000811830,2015-05-01,7.55,78.81,9.438410596026491
SOV,0000811830,SOV|0000811830,2015-05-12,8.2,78.104,8.524878048780488
SOV,0000811830,SOV|0000811830,2015-05-19,8.3,80.775,8.731927710843374
SOV,0000811830,SOV|0000811830,2015-05-27,8.3,82.629,8.955301204819277
SOV,0000811830,SOV|0000811830,2015-06-01,8.38,82.739,8.873389021479714
SOV,0000811830,SOV|0000811830,2015-06-04,8.2,78.897,8.62158536585366
SOV,0000811830,SOV|0000811830,2015-06-11,8.0,76.524,8.5655
SOV,0000811830,SOV|0000811830,2015-06-15,8.0,77.307,8.663375
SOV,0000811830,SOV|0000811830,2015-06-22,7.85,79.017,9.065859872611465
SOV,0000811830,SOV|0000811830,2015-06-30,7.6,76.5,9.06578947368421
SOV,0000811830,SOV|0000811830,2015-07-07,7.7,81.134,9.536883116883116
SOV,0000811830,SOV|0000811830,2015-07-15,7.7,81.749,9.616753246753246
SOV,0000811830,SOV|0000811830,2015-07-20,7.5,84.379,10.250533333333333
SOV,0000811830,SOV|0000811830,2015-07-27,7.5,83.284,10.104533333333334
SOV,0000811830,SOV|0000811830,2015-08-12,8.5,85.199,9.023411764705882
SOV,0000811830,SOV|0000811830,2016-01-26,6.85,98.579,13.39109489051095
SOV,0000811830,SOV|0000811830,2016-02-11,7.0,87.462,11.49457142857143
SOV,0000811830,SOV|0000811830,2016-02-26,6.8,97.937,13.4025
SOV,0000811830,SOV|0000811830,2016-03-01,7.0,97.095,12.870714285714286
SOV,0000811830,SOV|0000811830,2016-03-07,6.45,97.496,14.11565891472868
SOV,0000811830,SOV|0000811830,2016-03-15,6.3,99.93,14.861904761904764
SOV,0000811830,SOV|0000811830,2016-03-23,6.35,99.914,14.734488188976378
SOV,0000811830,SOV|0000811830,2016-04-01,6.65,102.38,14.39548872180451
SOV,0000811830,SOV|0000811830,2016-04-05,6.4,101.65,14.8828125
SOV,0000811830,SOV|0000811830,2016-04-08,6.49,101.213,14.595223420647148
SOV,0000811830,SOV|0000811830,2016-04-12,6.45,97.207,14.070852713178294
SOV,0000811830,SOV|0000811830,2016-04-21,6.55,96.828,13.78290076335878
SOV,0000811830,SOV|0000811830,2016-04-26,6.65,96.007,13.437142857142858
SOV,0000811830,SOV|0000811830,2016-05-03,7.45,92.875,11.466442953020135
SOV,0000811830,SOV|0000811830,2016-05-11,7.01,99.638,13.213694721825965
SOV,0000811830,SOV|0000811830,2016-05-18,7.25,98.703,12.614206896551725
SOV,0000811830,SOV|0000811830,2016-05-26,7.03,94.163,12.394452347083925
SOV,0000811830,SOV|0000811830,2016-09-13,9.0,80.044,7.893777777777778
SOV,0000811830,SOV|0000811830,2016-10-12,9.25,75.938,7.209513513513514
SOV,0000811830,SOV|0000811830,2016-12-01,7.52,75.736,9.071276595744681
SOV,0000811830,SOV|0000811830,2016-12-05,7.6,76.903,9.118815789473686
SOV,0000811830,SOV|0000811830,2016-12-14,7.7,78.971,9.255974025974027
SOV,0000811830,SOV|0000811830,2017-03-01,9.2,83.413,8.06663043478261
SOV,0000811830,SOV|0000811830,2017-03-24,9.0,77.463,7.606999999999999
SOV,0000811830,SOV|0000811830,2017-04-06,9.2,78.291,7.509891304347827
SOV,0000811830,SOV|0000811830,2017-04-18,9.39,81.095,7.636315228966986
SOV,0000811830,SOV|0000811830,2017-04-20,9.2,80.091,7.70554347826087
SOV,0000811830,SOV|0000811830,2017-06-22,10.24,66.888,5.53203125
SOV,0000811830,SOV|0000811830,2017-07-06,10.77,64.156,4.9569173630454975
SOV,0000811830,SOV|0000811830,2017-07-10,10.7,61.951,4.78981308411215
SOV,0000811830,SOV|0000811830,2017-07-12,10.7,61.282,4.727289719626168
SOV,0000811830,SOV|0000811830,2017-07-14,10.71,62.278,4.814939309056956
SOV,0000811830,SOV|0000811830,2017-07-18,10.73,62.999,4.8712954333643985
SOV,0000811830,SOV|0000811830,2017-07-20,10.73,63.601,4.927399813606709
SOV,0000811830,SOV|0000811830,2017-08-01,13.0,61.434,3.7256923076923076
SVU,0000095521,SVU|0000095521,2017-08-02,3.56,24.83,5.974719101123595
WIN,0001282266,WIN|0001282266,2019-05-16,0.234,10.2,42.589743589743584
EQ,0001746466,EQ|0001746466,2020-07-13,3.19,26.5,7.307210031347962
WLL,0001255474,WLL|0001255474,2020-09-02,0.5625,19.3613,33.42008888888889
UPC,0001809616,UPC|0001809616,2023-07-28,5.5485,32.55,4.866450391997837
COMS,0001178727,COMS|0001178727,2024-07-29,0.001,0.035,34.0
COMS,0001178727,COMS|0001178727,2024-12-10,0.0023,0.02,7.695652173913043
STI,0001881551,STI|0001881551,2025-01-02,0.697,40.20000076293945,56.67575432272519
UPC,0001809616,UPC|0001809616,2025-01-02,0.61,25.760000228881836,41.22950857193744
COMS,0001178727,COMS|0001178727,2025-11-03,0.0022,0.01,3.545454545454545
